ORIGIN,DESTINATION,Roundtrip,Status,,,,Note:
YXX,PVR,No,Active,,,,
YXX,SJD,No,Active,,,,
YXX,YEG,No,Active,,,,
YXX,YYC,No,Active,,,,
YXY,YYC,No,Active,,,,
YYC,ATL,No,Active,,,,
YYC,AUS,No,Active,,,,
YYC,BCN,No,Active,,,,
YYC,BNA,No,Active,,,,
YYC,BOS,No,Active,,,,
YYC,BZE,No,Active,,,,
YYC,CDG,No,Active,,,,
YYC,CUN,No,Active,,,,
YYC,DEN,No,Active,,,,
YYC,DTW,No,Active,,,,
YYC,DUB,No,Active,,,,
YYC,EDI,No,Active,,,,
YYC,FCO,No,Active,,,,
YYC,FLL,No,Active,,,,
YYC,HNL,No,Active,,,,
YYC,HUX,No,Active,,,,
YYC,IAD,No,Active,,,,
YYC,IAH,No,Active,,,,
YYC,ICN,No,Active,,,,
YYC,JFK,No,Active,,,,
YYC,KEF,No,Active,,,,
YYC,KOA,No,Active,,,,
YYC,LAS,No,Active,,,,
YYC,LAX,No,Active,,,,
YYC,LHR,No,Active,,,,
YYC,LIR,No,Active,,,,
YYC,LTO,No,Active,,,,
YYC,MBJ,No,Active,,,,
YYC,MCO,No,Active,,,,
YYC,MZT,No,Active,,,,
YYC,NAS,No,Active,,,,
YYC,NRT,No,Active,,,,
YYC,OGG,No,Active,,,,
YYC,ORD,No,Active,,,,
YYC,PDX,No,Active,,,,
YYC,PHX,No,Active,,,,
YYC,PSP,No,Active,,,,
YYC,PUJ,No,Active,,,,
YYC,PVR,No,Active,,,,
YYC,SAN,No,Active,,,,
YYC,SEA,No,Active,,,,
YYC,SFO,No,Active,,,,
YYC,SJD,No,Active,,,,
YYC,SNA,No,Active,,,,
YYC,TPA,No,Active,,,,
YYC,VRA,No,Active,,,,
YYC,YBR,No,Active,,,,
YYC,YCD,No,Active,,,,
YYC,YDF,No,Active,,,,
YYC,YEG,No,Active,,,,
YYC,YHM,No,Active,,,,
YYC,YHZ,No,Active,,,,
YYC,YKA,No,Active,,,,
YYC,YKF,No,Active,,,,
YYC,YLL,No,Active,,,,
YYC,YLW,No,Active,,,,
YYC,YMM,No,Active,,,,
YYC,YOW,No,Active,,,,
YYC,YQB,No,Active,,,,
YYC,YQG,No,Active,,,,
YYC,YQL,No,Active,,,,
YYC,YQM,No,Active,,,,
YYC,YQQ,No,Active,,,,
YYC,YQR,No,Active,,,,
YYC,YQT,No,Active,,,,
YYC,YQU,No,Active,,,,
YYC,YUL,No,Active,,,,
YYC,YVR,No,Active,,,,
YYC,YWG,No,Active,,,,
YYC,YXC,No,Active,,,,
YYC,YXE,No,Active,,,,
YYC,YXH,No,Active,,,,
YYC,YXJ,No,Active,,,,
YYC,YXS,No,Active,,,,
YYC,YXT,No,Active,,,,
YYC,YXU,No,Active,,,,
YYC,YXX,No,Active,,,,
YYC,YXY,No,Active,,,,
YYC,YYF,No,Active,,,,
YYC,YYG,No,Active,,,,
YYC,YYJ,No,Active,,,,
YYC,YYT,No,Active,,,,
YYC,YYZ,No,Active,,,,
YYC,YZF,No,Active,,,,
YYC,ZIH,No,Active,,,,
YYC,ZLO,No,Active,,,,
YYF,YVR,No,Active,,,,
YYF,YYC,No,Active,,,,
YYG,YEG,No,Active,,,,
YYG,YYC,No,Active,,,,
YYG,YYZ,No,Active,,,,
YYJ,CUN,No,Active,,,,
YYJ,LAS,No,Active,,,,
YYJ,PVR,No,Active,,,,
YYJ,SJD,No,Active,,,,
YYJ,YEG,No,Active,,,,
YYJ,YLW,No,Active,,,,
YYJ,YVR,No,Active,,,,
YYJ,YWG,No,Active,,,,
YYJ,YYC,No,Active,,,,
YYJ,YYZ,No,Active,,,,
YYT,LGW,No,Active,,,,
YYT,MCO,No,Active,,,,
YYT,TPA,No,Active,,,,
YYT,YEG,No,Active,,,,
YYT,YYC,No,Active,,,,
YYT,YYZ,No,Active,,,,
YYZ,ANU,No,Active,,,,
YYZ,AUA,No,Active,,,,
YYZ,BGI,No,Active,,,,
YYZ,BNA,No,Active,,,,
YYZ,BON,No,Active,,,,
YYZ,BZE,No,Active,,,,
YYZ,CUN,No,Active,,,,
YYZ,CUR,No,Active,,,,
YYZ,CZM,No,Active,,,,
YYZ,DUB,No,Active,,,,
YYZ,EDI,No,Active,,,,
YYZ,FLL,No,Active,,,,
YYZ,GCM,No,Active,,,,
YYZ,HUX,No,Active,,,,
YYZ,KIN,No,Active,,,,
YYZ,LAS,No,Active,,,,
YYZ,LAX,No,Active,,,,
YYZ,LIR,No,Active,,,,
YYZ,MBJ,No,Active,,,,
YYZ,MCO,No,Active,,,,
YYZ,MID,No,Active,,,,
YYZ,NAS,No,Active,,,,
YYZ,PLS,No,Active,,,,
YYZ,POP,No,Active,,,,
YYZ,PUJ,No,Active,,,,
YYZ,PVR,No,Active,,,,
YYZ,RSW,No,Active,,,,
YYZ,RTB,No,Active,,,,
YYZ,SJU,No,Active,,,,
YYZ,SXM,No,Active,,,,
YYZ,TPA,No,Active,,,,
YYZ,UVF,No,Active,,,,
YYZ,VRA,No,Active,,,,
YYZ,YDF,No,Active,,,,
YYZ,YEG,No,Active,,,,
YYZ,YHZ,No,Active,,,,
YYZ,YLW,No,Active,,,,
YYZ,YOW,No,Active,,,,
YYZ,YQM,No,Active,,,,
YYZ,YQQ,No,Active,,,,
YYZ,YQR,No,Active,,,,
YYZ,YVR,No,Active,,,,
YYZ,YWG,No,Active,,,,
YYZ,YXE,No,Active,,,,
YYZ,YYC,No,Active,,,,
YYZ,YYG,No,Active,,,,
YYZ,YYJ,No,Active,,,,
YYZ,YYT,No,Active,,,,
YZF,YEG,No,Active,,,,
YZF,YYC,No,Active,,,,
ZIH,YVR,No,Active,,,,
ZIH,YYC,No,Active,,,,
ZLO,YYC,No,Active,,,,
